training_1,training_2,training_3,training_4,testing_1,testing_2,testing_3,testing_4,training_valid,testing_valid,has_overlap,test_performance,out_of_sample_performance
0,1,0,1,0,0,1,1,1,1,1,0.9890625,0.9890625
1,1,0,1,0,0,1,1,1,1,1,0.98984375,0.9890625
0,1,0,1,1,0,1,1,1,1,1,0.9890625,0.9921875
1,1,0,1,1,0,1,1,1,1,1,0.995833333,0.990625
0,0,0,1,0,1,1,1,1,1,1,0.979166667,0.98125
1,0,0,1,0,1,1,1,1,1,1,0.984895833,0.9765625
0,0,0,1,1,1,1,1,1,1,1,0.98125,0.9796875
1,0,0,1,1,1,1,1,1,1,1,0.987890625,0.9828125
0,1,0,1,0,1,1,1,1,1,1,0.99375,0.99375
1,1,0,1,0,1,1,1,1,1,1,0.994791667,0.990625
0,1,0,1,1,1,1,1,1,1,1,0.990234375,0.9875
1,1,0,1,1,1,1,1,1,1,1,0.99609375,0.990625
0,0,1,1,0,0,1,1,1,1,1,1,0.9890625
1,0,1,1,0,0,1,1,1,1,1,1,0.990625
0,0,1,1,1,0,1,1,1,1,1,0.996354167,0.9859375
1,0,1,1,1,0,1,1,1,1,1,1,0.9890625
0,1,1,1,0,0,1,1,1,1,1,1,0.990625
1,1,1,1,0,0,1,1,1,1,1,1,0.9875
0,1,1,1,1,0,1,1,1,1,1,0.996875,0.990625
1,1,1,1,1,0,1,1,1,1,1,1,0.990625
0,0,1,1,0,1,1,1,1,1,1,0.9953125,0.9921875
1,0,1,1,0,1,1,1,1,1,1,0.994791667,0.9890625
0,0,1,1,1,1,1,1,1,1,1,0.994140625,0.9890625
1,0,1,1,1,1,1,1,1,1,1,0.995703125,0.984375
0,1,1,1,0,1,1,1,1,1,1,1,0.9890625
1,1,1,1,0,1,1,1,1,1,1,1,0.9828125
0,1,1,1,1,1,1,1,1,1,1,0.996484375,0.9875
1,1,1,1,1,1,1,1,1,1,1,1,0.9921875
0,0,0,0,0,0,0,0,0,0,0,,
1,0,0,0,0,0,0,0,1,0,0,,
0,0,0,0,1,0,0,0,0,1,0,,
0,1,0,0,0,0,0,0,1,0,0,,
1,1,0,0,0,0,0,0,1,0,0,,
0,1,0,0,1,0,0,0,1,1,0,0.978125,0.9890625
0,0,0,0,0,1,0,0,0,1,0,,
1,0,0,0,0,1,0,0,1,1,0,0.9875,0.9828125
0,0,0,0,1,1,0,0,0,1,0,,
0,0,1,0,0,0,0,0,1,0,0,,
1,0,1,0,0,0,0,0,1,0,0,,
0,0,1,0,1,0,0,0,1,1,0,0.9875,0.9890625
0,1,1,0,0,0,0,0,1,0,0,,
1,1,1,0,0,0,0,0,1,0,0,,
0,1,1,0,1,0,0,0,1,1,0,0.984375,0.984375
0,0,1,0,0,1,0,0,1,1,0,0.984375,0.9890625
1,0,1,0,0,1,0,0,1,1,0,0.9859375,0.9828125
0,0,1,0,1,1,0,0,1,1,0,0.98359375,0.9859375
0,0,0,0,0,0,1,0,0,1,0,,
1,0,0,0,0,0,1,0,1,1,0,0.98125,0.9875
0,0,0,0,1,0,1,0,0,1,0,,
0,1,0,0,0,0,1,0,1,1,0,0.9796875,0.9796875
1,1,0,0,0,0,1,0,1,1,0,0.98125,0.98125
0,1,0,0,1,0,1,0,1,1,0,0.98203125,0.98125
0,0,0,0,0,1,1,0,0,1,0,,
1,0,0,0,0,1,1,0,1,1,0,0.97890625,0.9859375
0,0,0,0,1,1,1,0,0,1,0,,
0,0,0,1,0,0,0,0,1,0,0,,
1,0,0,1,0,0,0,0,1,0,0,,
0,0,0,1,1,0,0,0,1,1,0,0.9796875,0.9859375
0,1,0,1,0,0,0,0,1,0,0,,
1,1,0,1,0,0,0,0,1,0,0,,
0,1,0,1,1,0,0,0,1,1,0,0.9875,0.984375
0,0,0,1,0,1,0,0,1,1,0,0.978125,0.9828125
1,0,0,1,0,1,0,0,1,1,0,0.984375,0.978125
0,0,0,1,1,1,0,0,1,1,0,0.9765625,0.9796875
0,0,1,1,0,0,0,0,1,0,0,,
1,0,1,1,0,0,0,0,1,0,0,,
0,0,1,1,1,0,0,0,1,1,0,0.9921875,0.9859375
0,1,1,1,0,0,0,0,1,0,0,,
1,1,1,1,0,0,0,0,1,0,0,,
0,1,1,1,1,0,0,0,1,1,0,0.9859375,0.9875
0,0,1,1,0,1,0,0,1,1,0,0.9828125,0.990625
1,0,1,1,0,1,0,0,1,1,0,0.98125,0.9890625
0,0,1,1,1,1,0,0,1,1,0,0.98515625,0.9890625
0,0,0,1,0,0,1,0,1,1,0,0.965625,0.98125
1,0,0,1,0,0,1,0,1,1,0,0.975,0.9859375
0,0,0,1,1,0,1,0,1,1,0,0.97734375,0.9828125
0,1,0,1,0,0,1,0,1,1,0,0.9796875,0.9921875
1,1,0,1,0,0,1,0,1,1,0,0.978125,0.9890625
0,1,0,1,1,0,1,0,1,1,0,0.98046875,0.9921875
0,0,0,1,0,1,1,0,1,1,0,0.9765625,0.9875
1,0,0,1,0,1,1,0,1,1,0,0.98203125,0.98125
0,0,0,1,1,1,1,0,1,1,0,0.975,0.9765625
0,0,0,0,0,0,0,1,0,1,0,,
1,0,0,0,0,0,0,1,1,1,0,0.9890625,0.9875
0,0,0,0,1,0,0,1,0,1,0,,
0,1,0,0,0,0,0,1,1,1,0,0.984375,0.984375
1,1,0,0,0,0,0,1,1,1,0,0.990625,0.9875
0,1,0,0,1,0,0,1,1,1,0,0.98203125,0.9765625
0,0,0,0,0,1,0,1,0,1,0,,
1,0,0,0,0,1,0,1,1,1,0,0.9875,0.9875
0,0,0,0,1,1,0,1,0,1,0,,
0,0,1,0,0,0,0,1,1,1,0,0.9984375,0.9890625
1,0,1,0,0,0,0,1,1,1,0,0.99375,0.9875
0,0,1,0,1,0,0,1,1,1,0,0.99296875,0.9859375
0,1,1,0,0,0,0,1,1,1,0,0.990625,0.9875
1,1,1,0,0,0,0,1,1,1,0,0.9875,0.9890625
0,1,1,0,1,0,0,1,1,1,0,0.990625,0.9890625
0,0,1,0,0,1,0,1,1,1,0,0.9875,0.9828125
1,0,1,0,0,1,0,1,1,1,0,0.9875,0.98125
0,0,1,0,1,1,0,1,1,1,0,0.9875,0.984375
0,0,0,0,0,0,1,1,0,1,0,,
1,0,0,0,0,0,1,1,1,1,0,0.9875,0.9828125
0,0,0,0,1,0,1,1,0,1,0,,
0,1,0,0,0,0,1,1,1,1,0,0.9859375,0.984375
1,1,0,0,0,0,1,1,1,1,0,0.9890625,0.9875
0,1,0,0,1,0,1,1,1,1,0,0.98125,0.984375
0,0,0,0,0,1,1,1,0,1,0,,
1,0,0,0,0,1,1,1,1,1,0,0.9875,0.984375
0,0,0,0,1,1,1,1,0,1,0,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
